"Dataset","GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","SEX","Display","Numeric","Low","High","Comments"
"CYCU","WHOSIS_000001","PUBLISHED","2000","EUR","WB_HI","BEL","FMLE","81","81.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","EUR","WB_HI","BEL","FMLE","83","83.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","EUR","WB_HI","BEL","BTSX","76","76.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","EUR","WB_HI","BEL","BTSX","78","78.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","EUR","WB_HI","BEL","BTSX","80","80.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","EMR","WB_HI","BHR","MLE","72","72.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","EMR","WB_HI","BHR","MLE","73","73.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","EMR","WB_HI","BHR","MLE","76","76.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","EMR","WB_HI","BHR","FMLE","74","74.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","EMR","WB_HI","BHR","FMLE","76","76.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","EMR","WB_HI","BHR","FMLE","78","78.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","EMR","WB_HI","BHR","BTSX","73","73.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","EMR","WB_HI","BHR","BTSX","74","74.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","EMR","WB_HI","BHR","BTSX","77","77.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","AMR","WB_HI","BHS","MLE","69","69.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","AMR","WB_HI","BHS","MLE","69","69.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","AMR","WB_HI","BHS","MLE","72","72.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","AMR","WB_HI","BHS","FMLE","74","74.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","AMR","WB_HI","BHS","FMLE","76","76.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","AMR","WB_HI","BHS","FMLE","78","78.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","AMR","WB_HI","BHS","BTSX","72","72.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","AMR","WB_HI","BHS","BTSX","73","73.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","AMR","WB_HI","BHS","BTSX","75","75.00000",,,
